epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2196.57,1.37171,2.6464,1.13276,0.01634,0.73178,0.39872,0.20885,1.265,3.60348,0.98753,0.000364455,0.000364455,0.000364455
2,4411.96,1.33388,1.39838,1.15893,0.85761,0.35269,0.64734,0.38255,1.2911,2.36361,1.14971,0.000662044,0.000662044,0.000662044
3,6337.26,1.31618,1.13172,1.15172,0.84429,0.73949,0.78623,0.47974,1.28428,1.16106,1.15695,0.000886308,0.000886308,0.000886308
4,8275.82,1.25967,0.9918,1.13378,0.88573,0.7545,0.79484,0.49635,1.25274,0.99355,1.12473,0.000781033,0.000781033,0.000781033
5,9369.45,1.20796,0.87639,1.10098,0.87898,0.78268,0.80935,0.51314,1.1885,0.81796,1.09776,0.000671044,0.000671044,0.000671044
6,10482.5,1.18054,0.8033,1.10012,0.90763,0.80234,0.82282,0.53424,1.14521,0.75084,1.0741,0.000561055,0.000561055,0.000561055
7,11573.4,1.14233,0.74039,1.0817,0.8758,0.81675,0.82211,0.54555,1.11869,0.71434,1.05347,0.000451066,0.000451066,0.000451066
8,12679.9,1.11707,0.7072,1.06341,0.91443,0.81796,0.83482,0.55252,1.11734,0.66143,1.05672,0.000341077,0.000341077,0.000341077
9,13895,1.08207,0.66604,1.04668,0.91295,0.82035,0.83383,0.55794,1.09919,0.6316,1.04644,0.000231088,0.000231088,0.000231088
10,15009.5,1.04685,0.63245,1.03163,0.94516,0.82332,0.83821,0.57248,1.0558,0.59729,1.02166,0.000121099,0.000121099,0.000121099
